time_seconds,FMG_channel_1,FMG_channel_2,FMG_channel_3,FMG_channel_4,FMG_channel_5,FMG_channel_6,FMG_channel_7,FMG_channel_8,CoP,vGRF,provisional_phase,label_status,signal_missing,FMG_channel_1_imputed,FMG_channel_2_imputed,FMG_channel_3_imputed,FMG_channel_4_imputed,FMG_channel_5_imputed,FMG_channel_6_imputed,FMG_channel_7_imputed,FMG_channel_8_imputed,CoP_imputed,vGRF_imputed
0.00,35,0,34,35,45,40,0,9,14.07,1151.71,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.01,35,0,33.000000000000909,35,45,39.999999999999091,0,9,14.07,1151.2099999999996,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.02,35,0,33.999999999998181,34.999999999998181,45,39,0,9,14.07,1150.7100000000019,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.03,35,0,33.000000000002728,34.000000000002728,45,39,0,9,14.07,1151.70999999998,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.04,35,0,34,35,45,39.000000000003638,0,9,14.060000000000036,1152.72,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.05,35,0,33.999999999995453,34.999999999995453,45,39.999999999995453,0,9,14.069999999999819,1152.72,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.06,35,0,33,34,45,39.000000000005457,0,9,14.100000000000055,1151.660000000011,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.07,35,0,33.000000000006366,34,45,40,0,9,14.109999999999836,1153.6499999999676,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.08,35,0,34,34.000000000007276,45,39.999999999992724,0,8.999999999992724,14.119999999999845,1154.1499999999924,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.09,35,0,34,34.999999999975444,45,39,0,8.0000000000081855,14.129999999999855,1154.6499999999928,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.10,35,0,34,32.000000000006821,45,39,0,8.9999999999977263,14.119999999999999,1152.6600000000092,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.11,35,0,34,33.999999999997272,45,39,0,9,14.119999999999999,1153.6599999999873,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.12,35,0,34,34,45,39.999999999999545,0,9,14.119999999999999,1152.6700000000001,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.13,35,0,33.999999999999545,34.999999999998636,45,39,0,9,14.119999999999999,1152.6700000000001,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
0.14,35,0,33,32.000000000002728,45,38.999999999998636,0,8.999999999998634,14.15,1143.6199999999935,QS,model_assisted_not_ground_truth,0,0,0,0,0,0,0,0,0,0,0
